# tests/case_11.pcat

[ERROR] (2,1)-(2,9): syntax error, unexpected integer, expecting PROGRAM
[ERROR] (5,1)-(5,21): range error,integer out of range11111111111111111111
[ERROR] (14,1)-(14,10): value error, invalid character found in string: "abcde	g"
[ERROR] (17,1)-(17,12): value error, invalid character found in string: "abcde			g"
[ERROR] (23,1)-(23,259): value error, string literal is too long: "1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456"
[ERROR] (35,1)-(35,257): compile error, identifier is too long: x123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345
[ERROR] (44,1)-(44,2): syntax error, unknown character: 
[ERROR] (50,1)-(50,5): syntax error, unterminated string literal: "abc
[ERROR] (53,1)-(53,9): syntax error, unterminated string literal: "abc(**)
[ERROR] (56,1)-(56,12): syntax error, unterminated string literal: "abc(*123*)
[ERROR] (74,1)-(74,11): syntax error, unterminated comment: (****123**

